currency,inheritance,timeline,survival,ci_low,ci_high,n_slots,n_events
tokens,main,0.0,1.0,1.0,1.0,60,57
tokens,main,1.0,0.8833333333333336,0.7707915907987247,0.9426011774664214,60,57
tokens,main,2.0,0.5833333333333334,0.44866295827116504,0.6959520940129897,60,57
tokens,main,3.0,0.4333333333333335,0.3066744944574311,0.5534137873204145,60,57
tokens,main,4.0,0.33333333333333337,0.21836078122958882,0.45239166568229866,60,57
tokens,main,5.0,0.1833333333333334,0.09787069252858425,0.28987695279423614,60,57
tokens,main,6.0,0.08333333333333337,0.030708428893241824,0.16987076818703262,60,57
tokens,main,7.0,0.05000000000000003,0.013179561832464748,0.12580161803940446,60,57
tokens,main,8.0,0.05000000000000003,0.013179561832464748,0.12580161803940446,60,57
tokens,mate,0.0,1.0,1.0,1.0,60,39
tokens,mate,1.0,0.8833333333333336,0.7707915907987247,0.9426011774664214,60,39
tokens,mate,4.0,0.7666666666666669,0.6380592834302092,0.8546007911368689,60,39
tokens,mate,5.0,0.5833333333333334,0.44866295827116504,0.6959520940129897,60,39
tokens,mate,6.0,0.3946078431372549,0.27090247795374195,0.5157889491954223,60,39
tokens,mate,7.0,0.34079768270944727,0.22322570083342316,0.46174600623619005,60,39
tokens,mate,8.0,0.34079768270944727,0.22322570083342316,0.46174600623619005,60,39
