currency,inheritance,rho_low,rho_high,n_offers,n_sacrifice,rate,fitted
tokens,main,0.0,0.25,1,1,1.0,0.125
tokens,main,0.25,0.5,4,0,0.0,0.125
tokens,main,0.5,0.75,11,1,0.09090909090909091,0.125
tokens,main,0.75,1.0,5,2,0.4,0.4
tokens,main,1.0,1.5,6,5,0.8333333333333334,0.5652173913043479
tokens,main,1.5,2.0,8,5,0.625,0.5652173913043479
tokens,main,2.0,3.0,9,3,0.3333333333333333,0.5652173913043479
tokens,main,3.0,inf,3,2,0.6666666666666666,0.6666666666666666
tokens,mate,0.0,0.25,2,1,0.5,0.11111111111111116
tokens,mate,0.25,0.5,6,0,0.0,0.11111111111111116
tokens,mate,0.5,0.75,19,2,0.10526315789473684,0.11111111111111116
tokens,mate,0.75,1.0,10,2,0.2,0.16666666666666663
tokens,mate,1.0,1.5,26,4,0.15384615384615385,0.16666666666666663
tokens,mate,1.5,2.0,16,3,0.1875,0.1875
tokens,mate,2.0,3.0,14,5,0.35714285714285715,0.3571428571428572
tokens,mate,3.0,inf,7,4,0.5714285714285714,0.5714285714285714
