currency,inheritance,timeline,survival,ci_low,ci_high,n_slots,n_events
tokens,main,0.0,1.0,1.0,1.0,60,57
tokens,main,1.0,0.5000000000000002,0.36841927310303024,0.618066911824807,60,57
tokens,main,2.0,0.30000000000000004,0.19019008533884185,0.4175443167315626,60,57
tokens,main,3.0,0.15000000000000008,0.07382564815741605,0.25131644686344917,60,57
tokens,main,4.0,0.10000000000000002,0.04069043091291462,0.1909141948959797,60,57
tokens,main,8.0,0.05000000000000003,0.013179561832464748,0.12580161803940446,60,57
tokens,mate,0.0,1.0,1.0,1.0,60,51
tokens,mate,1.0,0.7833333333333334,0.65630991437858,0.8679657855048099,60,51
tokens,mate,2.0,0.7166666666666668,0.5844550308858155,0.8133064021863107,60,51
tokens,mate,3.0,0.6333333333333334,0.49846714902656747,0.7410704878383496,60,51
tokens,mate,4.0,0.5333333333333334,0.40010914698881483,0.6496141073995269,60,51
tokens,mate,5.0,0.4166666666666667,0.2915858636218153,0.5369219890044638,60,51
tokens,mate,6.0,0.28333333333333344,0.1763701666752521,0.3998774924187695,60,51
tokens,mate,7.0,0.20000000000000007,0.1103500834061357,0.30875229947852234,60,51
tokens,mate,8.0,0.15000000000000008,0.07382564815741605,0.25131644686344917,60,51
