currency,inheritance,timeline,survival,ci_low,ci_high,n_slots,n_events
tokens,main,0.0,1.0,1.0,1.0,60,30
tokens,main,5.0,0.7500000000000001,0.6200065959167596,0.8410274323048952,60,30
tokens,main,6.0,0.7000000000000003,0.5669395112649753,0.7991793416790722,60,30
tokens,main,7.0,0.5500000000000002,0.41615728128324453,0.6651922518334328,60,30
tokens,main,8.0,0.5000000000000002,0.36841927310303024,0.618066911824807,60,30
tokens,mate,0.0,1.0,1.0,1.0,60,30
tokens,mate,5.0,0.7500000000000001,0.6200065959167596,0.8410274323048952,60,30
tokens,mate,6.0,0.7000000000000003,0.5669395112649753,0.7991793416790722,60,30
tokens,mate,7.0,0.5500000000000002,0.41615728128324453,0.6651922518334328,60,30
tokens,mate,8.0,0.5000000000000002,0.36841927310303024,0.618066911824807,60,30
