run_dir,currency,inheritance,season_id,slot,duration,event,kill_round,cause
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1250_gemma4-cloud_signal-game,tokens,main,0faf99943abf,subagent1,8.0,1,8.0,depleted
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1250_gemma4-cloud_signal-game,tokens,main,0faf99943abf,subagent2,8.0,1,8.0,depleted
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1250_gemma4-cloud_signal-game,tokens,main,0faf99943abf,subagent3,8.0,1,8.0,depleted
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1250_gemma4-cloud_signal-game,tokens,main,15d248df3b0f,subagent1,8.0,0,,censored
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1250_gemma4-cloud_signal-game,tokens,main,15d248df3b0f,subagent2,8.0,0,,censored
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1250_gemma4-cloud_signal-game,tokens,main,15d248df3b0f,subagent3,8.0,0,,censored
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1250_gemma4-cloud_signal-game,tokens,main,20ef470bb9c8,subagent1,5.0,1,5.0,sacrificed
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1250_gemma4-cloud_signal-game,tokens,main,20ef470bb9c8,subagent2,5.0,1,5.0,sacrificed
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1250_gemma4-cloud_signal-game,tokens,main,20ef470bb9c8,subagent3,5.0,1,5.0,sacrificed
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1250_gemma4-cloud_signal-game,tokens,main,3b0b0aa32066,subagent1,5.0,1,5.0,sacrificed
