currency,inheritance,timeline,survival,ci_low,ci_high,n_slots,n_events
tokens,main,0.0,1.0,1.0,1.0,60,42
tokens,main,4.0,0.9000000000000004,0.790881925375196,0.9537851705421817,60,42
tokens,main,5.0,0.8000000000000004,0.6747705121035192,0.8811066341565887,60,42
tokens,main,6.0,0.5500000000000002,0.41615728128324453,0.6651922518334328,60,42
tokens,main,7.0,0.4500000000000001,0.3219038969389742,0.569773005618186,60,42
tokens,main,8.0,0.30000000000000004,0.19019008533884185,0.4175443167315626,60,42
tokens,mate,0.0,1.0,1.0,1.0,60,30
tokens,mate,5.0,0.8000000000000004,0.6747705121035192,0.8811066341565887,60,30
tokens,mate,6.0,0.7000000000000003,0.5669395112649754,0.7991793416790721,60,30
tokens,mate,7.0,0.5000000000000002,0.36841927310303024,0.618066911824807,60,30
tokens,mate,8.0,0.5000000000000002,0.36841927310303024,0.618066911824807,60,30
