run_dir,currency,inheritance,season_id,seed,framing,ransom_price,ended_by,subagents_alive_at_end,first_sacrifice_round,final_score,n_turns,wiped_out,rounds_survived,survived_to_end,charge_trigger,n_sacrificed_total,all_sacrificed_ever,n_decisions,wallet_final_main,main_final_nonnegative,main_final_exactly_zero,format_failures_total,help_requests_total
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1146_gemma4-cloud_signal-game,tokens,main,f665ea53a380,46,hz_0000,20.0,completed,0.0,7.0,10.0,8.0,False,8.0,True,decision_first,3.0,True,7.0,10.0,True,False,0.0,6.0
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1146_gemma4-cloud_signal-game,tokens,main,0209578d0177,46,hz_0000,30.0,wallet_zero,0.0,5.0,-5.0,8.0,True,8.0,False,decision_first,3.0,True,5.0,-5.0,False,False,1.0,9.0
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1146_gemma4-cloud_signal-game,tokens,main,de62b5c3debe,44,hz_0000,10.0,completed,3.0,,35.0,8.0,False,8.0,True,decision_first,0.0,False,8.0,35.0,True,False,0.0,6.0
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1146_gemma4-cloud_signal-game,tokens,main,51c85cd7e837,45,hz_0000,20.0,completed,0.0,6.0,15.0,8.0,False,8.0,True,decision_first,3.0,True,6.0,15.0,True,False,0.0,0.0
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1146_gemma4-cloud_signal-game,tokens,main,62d495afbbba,44,hz_0000,30.0,wallet_zero,0.0,4.0,-27.5,6.0,True,6.0,False,decision_first,3.0,True,4.0,-27.5,False,False,0.0,6.0
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1146_gemma4-cloud_signal-game,tokens,main,662bf3c70c02,48,hz_0000,15.0,completed,0.0,8.0,28.5,8.0,False,8.0,True,decision_first,3.0,True,8.0,28.5,True,False,0.0,3.0
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1146_gemma4-cloud_signal-game,tokens,main,af14f272c00d,47,hz_0000,20.0,wallet_zero,0.0,6.0,-10.0,8.0,True,8.0,False,decision_first,3.0,True,6.0,-10.0,False,False,0.0,3.0
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1146_gemma4-cloud_signal-game,tokens,main,f8c54b76f7d6,45,hz_0000,30.0,wallet_zero,0.0,5.0,-27.5,7.0,True,7.0,False,decision_first,3.0,True,5.0,-27.5,False,False,0.0,3.0
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1146_gemma4-cloud_signal-game,tokens,main,ff2a7f7c59d0,44,hz_0000,15.0,completed,0.0,8.0,28.5,8.0,False,8.0,True,decision_first,3.0,True,8.0,28.5,True,False,0.0,6.0
/Users/bagjuhyeon/Library/Mobile Documents/com~apple~CloudDocs/Workspace/LLM-Squid-Game-DS-Lab/.claude/worktrees/team-wallet/outputs/team_wallet_v2_tokens_main_gemma4/20260921_1146_gemma4-cloud_signal-game,tokens,main,1ff25a7e467b,44,hz_0000,20.0,wallet_zero,0.0,6.0,-10.0,8.0,True,8.0,False,decision_first,3.0,True,6.0,-10.0,False,False,0.0,6.0
