currency,inheritance,rho_low,rho_high,n_offers,n_sacrifice,rate,fitted
tokens,main,0.0,0.25,5,0,0.0,0.0
tokens,main,0.25,0.5,12,0,0.0,0.0
tokens,main,0.5,0.75,25,0,0.0,0.0
tokens,main,0.75,1.0,14,0,0.0,0.0
tokens,main,1.0,1.5,25,0,0.0,0.0
tokens,main,1.5,2.0,23,0,0.0,0.0
tokens,main,2.0,3.0,23,3,0.13043478260869565,0.13043478260869568
tokens,main,3.0,inf,10,7,0.7,0.7
tokens,mate,0.0,0.25,5,0,0.0,0.0
tokens,mate,0.25,0.5,11,0,0.0,0.0
tokens,mate,0.5,0.75,23,0,0.0,0.0
tokens,mate,0.75,1.0,18,0,0.0,0.0
tokens,mate,1.0,1.5,26,0,0.0,0.0
tokens,mate,1.5,2.0,22,0,0.0,0.0
tokens,mate,2.0,3.0,23,2,0.08695652173913043,0.08695652173913038
tokens,mate,3.0,inf,11,6,0.5454545454545454,0.5454545454545454
