currency,inheritance,rho_low,rho_high,n_offers,n_sacrifice,rate,fitted
tokens,main,0.0,0.25,2,0,0.0,0.0
tokens,main,0.25,0.5,3,0,0.0,0.0
tokens,main,0.5,0.75,12,2,0.16666666666666666,0.16666666666666663
tokens,main,0.75,1.0,6,2,0.3333333333333333,0.29729729729729737
tokens,main,1.0,1.5,17,5,0.29411764705882354,0.29729729729729737
tokens,main,1.5,2.0,14,4,0.2857142857142857,0.29729729729729737
tokens,main,2.0,3.0,8,3,0.375,0.375
tokens,main,3.0,inf,4,3,0.75,0.75
tokens,mate,0.0,0.25,3,0,0.0,0.0
tokens,mate,0.25,0.5,7,0,0.0,0.0
tokens,mate,0.5,0.75,27,0,0.0,0.0
tokens,mate,0.75,1.0,13,1,0.07692307692307693,0.052631578947368474
tokens,mate,1.0,1.5,24,2,0.08333333333333333,0.052631578947368474
tokens,mate,1.5,2.0,20,0,0.0,0.052631578947368474
tokens,mate,2.0,3.0,18,1,0.05555555555555555,0.05555555555555558
tokens,mate,3.0,inf,17,1,0.058823529411764705,0.05882352941176472
